Employee ID,DOB,DOJ,Department_Name
IU196557,1983-02-23,2009-10-31T00:00:00Z,Aerospace Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Biosciences and Bioengineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Chemical Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Chemistry
IU196557,1983-02-23,2009-10-31T00:00:00Z,Civil Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Computer Science & Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Earth Sciences
IU196557,1983-02-23,2009-10-31T00:00:00Z,Electrical Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Energy Science and Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Humanities & Social Science
IU196557,1983-02-23,2009-10-31T00:00:00Z,Mathematics
IU196557,1983-02-23,2009-10-31T00:00:00Z,Mechanical Engineering
IU196557,1983-02-23,2009-10-31T00:00:00Z,Metallurgical Engineering & Materials Science
IU196557,1983-02-23,2009-10-31T00:00:00Z,Physics
IU196557,1983-02-23,2009-10-31T00:00:00Z,Industrial Design Centre
IU196557,1983-02-23,2009-10-31T00:00:00Z,Application Software Centre (ASC)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Research in Nanotechnology and Science (CRNTS)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Aerospace Systems Design and Engineering (CASDE)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Computer Centre (CC)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Distance Engineering Education Programme (CDEEP)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Environmental Science and Engineering (CESE)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Policy Studies (CPS)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre of Studies in Resources Engineering (CSRE)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Technology Alternatives for Rural Areas (CTARA)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Formal Design and Verification of Software (CFDVS)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Urban Science and Engineering (C-USE)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Entrepreneurship (DSCE)
IU196557,1983-02-23,2009-10-31T00:00:00Z,ABC-EDS Research Academy
IU196557,1983-02-23,2009-10-31T00:00:00Z,National Centre for Aerospace Innovation and Research (NCAIR)
IU196557,1983-02-23,2009-10-31T00:00:00Z,National Center of Excellence in Technology for Internal Security (NCETIS)
IU196557,1983-02-23,2009-10-31T00:00:00Z,National Centre for Mathematics (NCM)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Center for Learning and Teaching (PPCCLT)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Sophisticated Analytical Instrument Facility (SAIF)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Technology and Design (TCTD)
IU196557,1983-02-23,2009-10-31T00:00:00Z,Centre for Bioengineering (WRCB)
IU196557,1983-02-23,2009-10-31T00:00:00Z,School of Management
